Dataset	Random-mean	P-value
0	0.11256968	2.2504479421962706e-11
1	0.11295026	3.5840091132971077e-11
2	0.11022857999999999	1.1788032551985753e-12
3	0.11024678	1.206827252308401e-12
4	0.11422136	1.6471575979726587e-10
5	0.1126423	2.4601754323472357e-11
6	0.11378385	9.793903756406814e-11
7	0.11527717	5.648830295240029e-10
8	0.11192025	1.0079038661271791e-11
9	0.11157295	6.528523038431632e-12
10	0.11161102	6.847917002371631e-12
11	0.11116516	3.904379353825546e-12
12	0.11269158	2.613305211950224e-11
13	0.11343556	6.450006576091131e-11
14	0.11331199	5.557131904490801e-11
15	0.11241111	1.8516256173426647e-11
16	0.11461866	2.62871338024667e-10
17	0.11365321	8.376991654871206e-11
18	0.11137048	5.060661216278327e-12
19	0.11286709	3.238553394401071e-11
20	0.11170721	7.72492808196669e-12
21	0.11298082	3.719823085823212e-11
22	0.11264141	2.4574925087547877e-11
23	0.11282562	3.078732569426313e-11
24	0.11376452	9.570329363391639e-11
25	0.11368589999999999	8.711440708995565e-11
26	0.11173875999999999	8.035941016962894e-12
27	0.11257653	2.2694563024662007e-11
28	0.11358095	7.681749950742774e-11
29	0.11436095	1.9421423797176455e-10
30	0.11367093	8.55668942746931e-11
31	0.11257092	2.253877246129483e-11
32	0.11352794	7.208023032815417e-11
33	0.11450493	2.3005294583376346e-10
34	0.11145201	5.607951982671451e-12
35	0.11335818	5.875710498111703e-11
36	0.11259598999999999	2.3243208464809843e-11
37	0.11232436	1.6637210770721324e-11
38	0.11292842	3.489942101419066e-11
39	0.11192233	1.0105187759766989e-11
40	0.11499102	4.0574448225147576e-10
41	0.1128348	3.113430233544052e-11
42	0.11368117	8.662250451307017e-11
43	0.11414933	1.5125988095497812e-10
44	0.11400144	1.2692145485537678e-10
45	0.11248601999999999	2.0305376566955112e-11
46	0.11301815999999999	3.892637761530248e-11
47	0.11273723	2.763481988056504e-11
48	0.11408595	1.4031521378723364e-10
49	0.11214016	1.3246672725036175e-11
50	0.1111137	3.657965463091069e-12
51	0.1137383	9.27504396803952e-11
52	0.11278412	2.9265528835049093e-11
53	0.11262104	2.396865957476215e-11
54	0.11216903	1.3729215757213445e-11
55	0.11390644999999999	1.1335970020436402e-10
56	0.11139879	5.244471230362371e-12
57	0.11236148	1.741714411936444e-11
58	0.11235341	1.7244586898680374e-11
59	0.11391114	1.1399461520672737e-10
60	0.11362421	8.090856719781177e-11
61	0.11338903	6.098395171677239e-11
62	0.11286853	3.244246851664356e-11
63	0.11186379	9.3940925869994e-12
64	0.11203578	1.1637057473880143e-11
65	0.11146757	5.718824473817915e-12
66	0.11241897	1.869646169846314e-11
67	0.1130515	4.053581448863383e-11
68	0.11185161	9.252441182924014e-12
69	0.11360024	7.86160493368638e-11
70	0.11223574	1.4911240401599424e-11
