Dataset	Random-mean	P-value
0	0.12827804	2.779899851949408e-12
1	0.12763172	8.325095404256009e-13
2	0.12671042	1.4340033346167443e-13
3	0.12816147	2.240464712123344e-12
4	0.1260558	3.995550754407086e-14
5	0.12661164	1.1842753777429835e-13
6	0.12555328	1.474898640433277e-14
7	0.12874516	6.548171067123891e-12
8	0.12855978	4.66762800365595e-12
9	0.12653378	1.0181024293984842e-13
10	0.12767275	8.993582652424866e-13
11	0.12632976	6.840047283212554e-14
12	0.12642054	8.166545314904557e-14
13	0.12750929	6.60779581863375e-13
14	0.12648905	9.332648653139683e-14
15	0.12907873	1.1981983294966476e-11
16	0.12649409	9.424643108113553e-14
17	0.12687599	1.9738563358999503e-13
18	0.12668831	1.3739484639943191e-13
19	0.12817864	2.3129117551979495e-12
20	0.12849642	4.1557691100959345e-12
21	0.12848583	4.075776989211281e-12
22	0.12773153	1.0044227810893101e-12
23	0.12780091	1.1440520825160964e-12
24	0.1283673	3.277519159542632e-12
25	0.12734601	4.849367217974335e-13
26	0.12740013	5.373957889805584e-13
27	0.1276894	9.279682063617493e-13
28	0.12818519	2.341151792953358e-12
29	0.12868453	5.863111235576366e-12
30	0.12729656	4.414318921002039e-13
31	0.12847762	4.014805854679087e-12
32	0.12839527	3.450761003595502e-12
33	0.12801908	1.7196662891742293e-12
34	0.12672008	1.461046796101722e-13
35	0.12808828	1.955884406595219e-12
36	0.12597447	3.403499643760215e-14
37	0.12851036	4.263422693004035e-12
38	0.12840723	3.527559100674824e-12
39	0.12868615	5.880464491932086e-12
40	0.12665224	1.2812529498289283e-13
41	0.12654965	1.049993562085704e-13
42	0.12708173	2.9298119587355965e-13
43	0.12691537	2.1292388977181145e-13
44	0.12630718	6.544579547228265e-14
45	0.126426	8.253956027510794e-14
46	0.1274653	6.080203401521804e-13
47	0.12835655	3.213235623736547e-12
48	0.12708165	2.929363378478098e-13
49	0.12744291	5.827824452067114e-13
50	0.12842061	3.6154680812790814e-12
51	0.12681762	1.763881695319394e-13
52	0.12770661	9.584817406772803e-13
53	0.12756391	7.325932885279175e-13
54	0.12734766	4.864588943129097e-13
55	0.12803285	1.7643174868861539e-12
56	0.12783771	1.2256944654244639e-12
57	0.12728296	4.301565220869576e-13
58	0.12844722	3.796750645424372e-12
59	0.12843217	3.6931512565038414e-12
60	0.12690137	2.0726652963943805e-13
61	0.12842277	3.6298601824714682e-12
62	0.12839401	3.442766601088995e-12
63	0.12930343	1.7936244987026857e-11
64	0.12566387	1.8387128205435413e-14
65	0.12806702	1.8801046153046187e-12
66	0.1296114	3.10318506102265e-11
67	0.1273849	5.220929503871386e-13
68	0.12725763	4.0990707631912406e-13
69	0.12711144	3.1011688223496613e-13
70	0.12728807	4.3435941830658156e-13
71	0.12897586	9.95173841613582e-12
72	0.12893063	9.169893067102378e-12
73	0.12705679	2.793194309655802e-13
74	0.12545653	1.215520525787242e-14
75	0.12581126	2.4642717780671352e-14
76	0.12716454	3.4323612845346784e-13
77	0.12731612	4.581605131047918e-13
78	0.12670007	1.4055754911803373e-13
79	0.12687237	1.9601465808034007e-13
80	0.12710793	3.080421123528083e-13
81	0.12762504	8.220992002304409e-13
82	0.12586511	2.7417461978488095e-14
83	0.12777446	1.0887011938359033e-12
84	0.12804538	1.8059377944711957e-12
85	0.1269424	2.2428039963434922e-13
86	0.1277413	1.0230196676951192e-12
87	0.12827786	2.7789756095185594e-12
88	0.12663904	1.2488944468009532e-13
89	0.12727054	4.201075000529696e-13
90	0.12945143	2.335823675256833e-11
91	0.12837009	3.294408633605352e-12
92	0.12778021	1.1005052521890463e-12
93	0.12798507	1.6140927752128498e-12
94	0.1294814	2.4637784134828836e-11
95	0.1286504	5.508995896575292e-12
96	0.12673097	1.492136610742053e-13
97	0.12632131	6.727967115720707e-14
98	0.12746522	6.079282766269176e-13
99	0.12699937	2.5020601112998945e-13
100	0.12529601	8.80890148966648e-15
101	0.1268625	1.9232414878392727e-13
102	0.12766442	8.853723324149758e-13
103	0.12827471	2.762850200562045e-12
104	0.12872586	6.321976810853013e-12
105	0.12882233	7.534815507886637e-12
106	0.12988271	5.006861250662865e-11
107	0.12913095	1.3163095384612555e-11
108	0.12783508	1.2196741991239872e-12
109	0.12771697	9.773240686625114e-13
110	0.12818245	2.3292973777924227e-12
111	0.12597451	3.4037684099094296e-14
112	0.12589971	2.9360638277004335e-14
113	0.12677171	1.614334484894544e-13
114	0.12801685	1.7125405613005558e-12
115	0.12782371	1.193980512600108e-12
116	0.12765453	8.69044957266284e-13
117	0.12813561	2.1355441673542674e-12
118	0.12807126	1.894983544800615e-12
119	0.12702984	2.6526165359743915e-13
120	0.12691807	2.1403232102550545e-13
121	0.12718167	3.5464575471129177e-13
122	0.12758597	7.637284541185009e-13
123	0.12666582	1.3154051310031063e-13
124	0.12769165	9.319024851170596e-13
125	0.12605512	3.990202527814042e-14
126	0.12741346	5.511513785708321e-13
127	0.12661107	1.1829667151057583e-13
128	0.12590031	2.939550593263532e-14
129	0.12755779	7.241793003381409e-13
130	0.12908083	1.2027405435757003e-11
131	0.12762953	8.290823523118397e-13
132	0.12807278	1.9003456575423774e-12
133	0.1296399	3.2637665384664737e-11
134	0.12551661	1.370724144375833e-14
135	0.12760661	7.940371410857745e-13
136	0.12803255	1.7633326475328773e-12
137	0.12832003	3.0039751554203634e-12
138	0.12757343	7.458733586352244e-13
