Dataset	Random-mean	P-value
0	0.6121837	1.7314155810777305e-08
1	0.6052274	1.6913368184455088e-09
2	0.6136373	2.7683409151145434e-08
3	0.6046186	1.3712361676893192e-09
4	0.6004824	3.21122980827597e-10
5	0.5993443	2.1367111494078573e-10
6	0.607997	4.337828832803516e-09
7	0.6056132	1.930847593368882e-09
8	0.6114111	1.3459855535950298e-08
9	0.6151883	4.538296323634716e-08
10	0.5948088	4.074216707481433e-11
11	0.6014544	4.5352317249659834e-10
12	0.6021322	5.761089029228868e-10
13	0.6098438	8.035328904322003e-09
14	0.6046365	1.3797407239899586e-09
15	0.600883	3.703345717834642e-10
16	0.6040594	1.1298931895205724e-09
17	0.5995272	2.281806546845371e-10
18	0.6083569	4.895123742353007e-09
19	0.6084795	5.1004666229985484e-09
20	0.6101096	8.774129894332446e-09
21	0.605852	2.0953802553977873e-09
22	0.605333	1.7538442100022036e-09
23	0.6036728	9.878705418411011e-10
24	0.6069934	3.0909452986867587e-09
25	0.613391	2.557777538105401e-08
26	0.6040757	1.1363005576257816e-09
27	0.604368	1.2574187808195111e-09
28	0.6092965	6.700117181482338e-09
29	0.6018698	5.252210687969815e-10
30	0.6009538	3.797685752134198e-10
31	0.6100476	8.596091141560173e-09
32	0.600849	3.658860501765391e-10
33	0.6021839	5.866895062381333e-10
34	0.599544	2.2956081656713368e-10
35	0.5970162	9.188107767378853e-11
36	0.601297	4.289381851051972e-10
37	0.6106986	1.0655039337340079e-08
38	0.612027	1.6454255870691317e-08
39	0.6011226	4.0322031734729005e-10
40	0.6061509	2.320715122767098e-09
41	0.6105331	1.0090098543232543e-08
42	0.5989046	1.8238742939388442e-10
43	0.6096127	7.442556205663783e-09
44	0.6101206	8.806090724878566e-09
45	0.6042506	1.207327148867997e-09
46	0.6035468	9.454734019650826e-10
47	0.6052717	1.7172894833471408e-09
48	0.6001454	2.847324272193064e-10
49	0.6129788	2.2397588765753996e-08
50	0.6110332	1.1892943801182294e-08
51	0.6075337	3.7108670130658843e-09
52	0.6147329	3.9279137994106915e-08
53	0.6097882	7.888642849640888e-09
54	0.5959508	6.215102334194375e-11
55	0.6005519	3.291755551118522e-10
56	0.6139767	3.086338268573142e-08
57	0.6119736	1.6170835777628427e-08
58	0.6047743	1.4469605783163585e-09
59	0.6009835	3.8379574728279823e-10
60	0.6074513	3.6090333527054093e-09
61	0.6111162	1.2221079282376996e-08
62	0.6072858	3.412676308874961e-09
63	0.6046793	1.4002852145623985e-09
64	0.5994467	2.216793624598824e-10
65	0.6137307	2.852522132492133e-08
66	0.604003	1.1079943297414728e-09
67	0.5994325	2.205515321397457e-10
68	0.5997892	2.5066002501858406e-10
69	0.5991896	2.0210743121854353e-10
70	0.6042474	1.205989470861509e-09
