Dataset	Random-mean	P-value
394	0.51257	9.137202838702357e-21
395	0.5193381	3.7793211649984323e-19
396	0.5129485	1.129012895903856e-20
397	0.5161682	6.718584136600829e-20
398	0.5210013	9.246640942700432e-19
399	0.5128282	1.055633922751537e-20
400	0.5190629	3.2567535230714953e-19
401	0.5132514	1.3369243936532893e-20
402	0.5222063	1.7592489008158052e-18
403	0.519962	5.291533123668346e-19
404	0.512742	1.0059812672433231e-20
405	0.5203504	6.521229969692216e-19
406	0.516261	7.069927880486153e-20
407	0.5147931	3.1478321647974215e-20
408	0.5143089	2.4072409393559307e-20
409	0.5125888	9.233817525161038e-21
410	0.5139989	2.026691574001323e-20
411	0.5143941	2.5237031528175253e-20
412	0.5124968	8.770474148406597e-21
413	0.5189123	3.0017699793615697e-19
414	0.5165319	8.203078559257504e-20
415	0.5199572	5.277871770211991e-19
416	0.5132873	1.3639544330434958e-20
417	0.5141668	2.2247332675114815e-20
418	0.5066277	3.1318155949560887e-22
419	0.523408	3.3271327289375275e-18
420	0.5198281	4.92325639293604e-19
421	0.51348	1.518569053430326e-20
422	0.5135676	1.5944813188871412e-20
423	0.5157433	5.3184315944463365e-20
424	0.515495	4.6384243498180954e-20
425	0.5152628	4.0807629074582544e-20
426	0.5168175	9.592772105610904e-20
427	0.5147	2.9897521181426716e-20
428	0.5179909	1.8202535459169574e-19
429	0.5178495	1.6853862539459765e-19
430	0.5115215	5.074280876335275e-21
431	0.5160201	6.193368189483817e-20
432	0.5168408	9.715935722341972e-20
433	0.5258858	1.221396413755137e-17
434	0.5108532	3.4823465809360304e-21
435	0.5159045	5.81185686624305e-20
436	0.5173832	1.3069899828969237e-19
437	0.5127819	1.0286698047982204e-20
438	0.5279091	3.484688980175467e-17
439	0.5112919	4.459254196986932e-21
440	0.5143287	2.4338218315214255e-20
441	0.5158302	5.579035012646705e-20
442	0.5243136	5.362971408735099e-18
443	0.5180028	1.832079747151976e-19
444	0.5220876	1.6515506133529666e-18
445	0.5173226	1.2644493498931788e-19
446	0.5152538	4.060540679862596e-20
447	0.511894	6.255696043920369e-21
448	0.5204007	6.699895502469922e-19
449	0.512589	9.234850764891267e-21
450	0.5135574	1.585452301176384e-20
451	0.5255527	1.0265729833163165e-17
452	0.5148956	3.331462866346005e-20
453	0.5077867	6.092827732107177e-22
454	0.5186905	2.6618194161450486e-19
455	0.5193932	3.8935189439512023e-19
456	0.5104157	2.719857909705194e-21
457	0.5103739	2.6563178547684872e-21
458	0.5267183	1.8829527959589314e-17
459	0.5121768	7.3312130069134e-21
460	0.5102859	2.5273199640308316e-21
461	0.5089794	1.2039147198347852e-21
462	0.5158235	5.558500163888654e-20
463	0.5177871	1.6290626055553257e-19
464	0.5132931	1.368371932370125e-20
465	0.5168151	9.580173914228149e-20
466	0.5171533	1.1527341535607258e-19
467	0.5208602	8.573420825644496e-19
468	0.5003796	8.145278792635142e-24
469	0.5187474	2.7452088609266134e-19
470	0.5238362	4.1709643816025245e-18
471	0.5151814	3.9014351334049175e-20
472	0.5196223	4.406125390144919e-19
473	0.5206615	7.706903005425292e-19
474	0.5140512	2.08643020237025e-20
475	0.5107193	3.2288544033803854e-21
476	0.515736	5.2970968937137925e-20
477	0.5161031	6.482491881050635e-20
478	0.5195035	4.1324853711217416e-19
479	0.5214746	1.1910323325501512e-18
480	0.5177018	1.5550735677475227e-19
481	0.5198569	5.000262358475704e-19
482	0.5183149	2.170922594478141e-19
483	0.5166363	8.686277806297863e-20
484	0.50911	1.2968239093050033e-21
485	0.5192891	3.6805557586794794e-19
486	0.5122799	7.767311566648636e-21
487	0.5190377	3.2126403302517153e-19
488	0.5153647	4.3168017489848864e-20
489	0.5105437	2.9239526505415037e-21
490	0.5152478	4.047114384823542e-20
491	0.51483	3.212754013453543e-20
492	0.5244963	5.903464152279074e-18
493	0.516684	8.916332315461194e-20
494	0.5151042	3.738582262030713e-20
495	0.5138333	1.8484956751661096e-20
496	0.5100041	2.154594623539709e-21
497	0.5133515	1.413649328507468e-20
498	0.5080944	7.265839598059912e-22
499	0.5175469	1.4291233237031963e-19
500	0.5264449	1.6338166143816254e-17
501	0.5242853	5.2837486437874946e-18
502	0.5168835	9.945726759157446e-20
503	0.5093315	1.470927377109999e-21
504	0.5091133	1.299261386416746e-21
505	0.512464	8.610917185373372e-21
506	0.5172938	1.2447156387585884e-19
507	0.5146973	2.985286967621715e-20
508	0.513804	1.818624836309983e-20
509	0.5149171	3.371306652117359e-20
510	0.5132712	1.3517659929157068e-20
511	0.5161035	6.483917127167723e-20
512	0.5127581	1.0150759793940449e-20
513	0.5167325	9.15643249702553e-20
514	0.5110588	3.91047866449988e-21
515	0.5121816	7.350966753356784e-21
516	0.5184019	2.2759730169671805e-19
517	0.5106936	3.1823361294816574e-21
518	0.5150805	3.6899519988943824e-20
519	0.5192004	3.50822707738338e-19
520	0.5138023	1.8169064734315946e-20
521	0.5097208	1.8348761297882062e-21
522	0.5155208	4.7048676452183933e-20
523	0.5219105	1.5028828850851304e-18
524	0.5233836	3.2845001454155826e-18
525	0.5224402	1.992217616409951e-18
526	0.5141171	2.1641931284145592e-20
527	0.5290161	6.152003123615987e-17
528	0.5190993	3.3215334034452744e-19
529	0.5120883	6.976288361171652e-21
530	0.5146878	2.969628713129448e-20
531	0.5171181	1.1307648262077186e-19
532	0.5152057	3.9541356119944087e-20
533	0.5253682	9.322407052757763e-18
534	0.5086718	1.0103572422041147e-21
535	0.5231196	2.8564158693664017e-18
536	0.5229853	2.660327058540412e-18
537	0.5175483	1.4302151316761801e-19
538	0.5171569	1.1550047073738615e-19
539	0.518324	2.1816818290461796e-19
540	0.5102621	2.493512010124173e-21
541	0.5134308	1.4775156811935765e-20
542	0.5121551	7.242564190391824e-21
543	0.5183354	2.1952349695981106e-19
544	0.5192943	3.6909145803107873e-19
545	0.5206005	7.458713580261558e-19
546	0.5064959	2.902881346754694e-22
547	0.5219784	1.5582475705843948e-18
548	0.5113732	4.668082106484288e-21
549	0.5165053	8.084282195445917e-20
550	0.5213741	1.1287630251758445e-18
551	0.5105644	2.958355540930123e-21
552	0.5184081	2.2836486764525057e-19
553	0.5178147	1.6537412992296397e-19
554	0.5170557	1.0928336859957673e-19
555	0.520309	6.377722354163818e-19
556	0.5195203	4.1701353321124944e-19
557	0.5261334	1.3895038347615914e-17
558	0.5240981	4.788090752453092e-18
559	0.5163091	7.259136356646254e-20
560	0.5196332	4.432112926857831e-19
561	0.5205631	7.310475007666962e-19
562	0.5095417	1.6575114672098754e-21
563	0.5206155	7.51900014677285e-19
564	0.5236396	3.760056249290486e-18
565	0.5184789	2.373138467228791e-19
566	0.5176841	1.5401427688377133e-19
567	0.510603	3.0235831008073326e-21
568	0.5229514	2.6129737888511095e-18
569	0.5190012	3.1497933670063137e-19
570	0.5216803	1.3292782348097252e-18
571	0.5244553	5.777665161433397e-18
572	0.5135233	1.5556333173192666e-20
573	0.5100121	2.1643828179872085e-21
574	0.5187904	2.809938632656036e-19
575	0.5183757	2.2438182701835552e-19
576	0.5206613	7.706076058995485e-19
577	0.5155332	4.73713627559589e-20
578	0.5181906	2.0291137034552992e-19
579	0.5161156	6.527177851433371e-20
580	0.5085906	9.646327304726395e-22
581	0.5203061	6.367787876542723e-19
582	0.5211056	9.777670892300843e-19
583	0.5157971	5.478312968960224e-20
584	0.5126925	9.785220838763302e-21
585	0.5170474	1.0878842713137085e-19
586	0.5137536	1.7683578665519465e-20
587	0.5151094	3.749336843775384e-20
588	0.5135457	1.5751578647161297e-20
589	0.5137228	1.7383195267093792e-20
590	0.5105084	2.8661974551279558e-21
591	0.5181752	2.0121958775857487e-19
592	0.5156876	5.157773811109602e-20
593	0.522156	1.7127876306351511e-18
594	0.5189848	3.121953137779068e-19
595	0.522203	1.756162881013424e-18
596	0.5224003	1.9504213610521575e-18
597	0.5144731	2.6366709026525078e-20
598	0.5107028	3.1989117323915864e-21
599	0.5173149	1.2591431767517549e-19
600	0.5213574	1.1187327296074162e-18
601	0.5152498	4.051584922229534e-20
602	0.5153153	4.2007301696153345e-20
603	0.5171211	1.1326209324776432e-19
604	0.5090899	1.282075071775895e-21
605	0.5119823	6.573535549963984e-21
606	0.5095834	1.6972252142811655e-21
607	0.5078068	6.163357748869924e-22
608	0.5210475	9.478244943164387e-19
609	0.522862	2.492058181862112e-18
610	0.5115248	5.083707252516189e-21
611	0.5197317	4.673943686928786e-19
612	0.5110233	3.832996870864274e-21
613	0.5097075	1.8210818181668473e-21
614	0.5185144	2.4193082235846505e-19
615	0.5123408	8.036889033565478e-21
616	0.5164244	7.733354101704725e-20
617	0.5096159	1.7288301161622618e-21
618	0.516897	1.0019491222605143e-19
619	0.5180596	1.889584257995422e-19
620	0.5195878	4.3248616574701664e-19
621	0.5127179	9.925181585725034e-21
622	0.5210401	9.440765691957408e-19
623	0.5177917	1.6331502435190234e-19
624	0.5069665	3.805803977167393e-22
625	0.5113995	4.737689816705207e-21
626	0.5157547	5.351919187222825e-20
627	0.5145008	2.677455985913294e-20
628	0.5137016	1.7179381394316004e-20
629	0.5231152	2.8497705003749175e-18
630	0.5157168	5.241387613061823e-20
631	0.5112625	4.3860396609812494e-21
632	0.5156489	5.048989964669012e-20
633	0.5134412	1.4861009365731014e-20
634	0.511818	5.9943612270180036e-21
635	0.5128835	1.0887587349220884e-20
636	0.5225072	2.064404688172059e-18
637	0.5169585	1.0362445529053826e-19
638	0.5174896	1.3851384736419508e-19
639	0.5214095	1.1503201148813745e-18
640	0.5196533	4.480433465844072e-19
641	0.5170306	1.0779340300575206e-19
642	0.5163008	7.226132689541778e-20
643	0.5221004	1.6628429773884513e-18
644	0.5102756	2.5126333699435654e-21
645	0.5162742	7.121360175473607e-20
646	0.5125845	9.211630563479063e-21
647	0.5183565	2.2205405114337414e-19
648	0.5243602	5.495991403852796e-18
649	0.5243596	5.4942581304637615e-18
650	0.5190203	3.1825270403533675e-19
651	0.5131975	1.2973354528086416e-20
652	0.5124784	8.680609178660266e-21
653	0.5215228	1.2220914633685252e-18
654	0.5209139	8.823716050281227e-19
655	0.5082489	7.936677496953959e-22
656	0.5205867	7.403672678847293e-19
657	0.5192026	3.5124030777833634e-19
658	0.5149953	3.5202493208603874e-20
659	0.5158758	5.720804927018861e-20
660	0.5164789	7.968064320388523e-20
661	0.5207965	8.285615694334344e-19
662	0.5191096	3.340094453082467e-19
663	0.5078546	6.33435493776681e-22
664	0.5215018	1.2084621373856597e-18
665	0.5147633	3.096352199914422e-20
666	0.5176743	1.5319371567257293e-19
667	0.5198394	4.953329563622703e-19
668	0.5105981	3.015224560131822e-21
669	0.5129373	1.1219731102666112e-20
670	0.518126	1.9590772221929503e-19
671	0.5196699	4.520732952886207e-19
672	0.5100201	2.174215098080232e-21
673	0.51801	1.8392720100299597e-19
674	0.5133181	1.3875757141265718e-20
675	0.5194184	3.9468795745859596e-19
676	0.5161828	6.772690955852165e-20
677	0.5174436	1.3508002316819977e-19
678	0.5247001	6.570129243448244e-18
679	0.5115647	5.199063726395747e-21
680	0.5194527	4.02067454564843e-19
681	0.5160465	6.283917095240157e-20
682	0.5151437	3.82104765627184e-20
683	0.5177947	1.6358215652798744e-19
684	0.5279487	3.55649458755782e-17
685	0.5202355	6.130605412574527e-19
686	0.5124232	8.416453825563275e-21
687	0.5100273	2.183102006024352e-21
688	0.5123695	8.16712610782817e-21
689	0.5155149	4.6895905744988595e-20
690	0.5116681	5.5102231193024665e-21
691	0.5135181	1.55113524426703e-20
692	0.5197341	4.679996198134709e-19
693	0.524625	6.3162179208287486e-18
694	0.5194975	4.119120683140889e-19
695	0.5158526	5.648236010148743e-20
696	0.5192238	3.5528976216366113e-19
697	0.5130461	1.1922420481023174e-20
698	0.517918	1.7494381875967825e-19
699	0.5242762	5.258521038497647e-18
700	0.5223803	1.9297985630720454e-18
701	0.5223175	1.866435442057133e-18
702	0.5258769	1.2157439830066185e-17
703	0.5161967	6.82460463187485e-20
704	0.5200039	5.412281684585133e-19
705	0.511679	5.544080898850465e-21
706	0.5158372	5.600569610519394e-20
707	0.5194728	4.0645519554405493e-19
708	0.5234924	3.478865707266615e-18
709	0.5178935	1.7262568435136483e-19
710	0.5131331	1.2515552147457105e-20
711	0.5177363	1.5845891962216932e-19
712	0.508644	9.944658410818973e-22
713	0.5141957	2.2607051767944122e-20
714	0.5112045	4.24507925377656e-21
715	0.5213132	1.0926092374484374e-18
716	0.5108051	3.3890929730748254e-21
717	0.5146683	2.937742586030866e-20
718	0.5140234	2.054462177541828e-20
719	0.5108462	3.46861885674957e-21
720	0.5155393	4.753090724391008e-20
721	0.5148765	3.296458315747009e-20
722	0.5200746	5.6222419403014225e-19
723	0.5154387	4.496644180407974e-20
724	0.5138631	1.8793749272738117e-20
725	0.5174122	1.3278462026124533e-19
726	0.5177118	1.56357232858864e-19
727	0.5203293	6.447694628652275e-19
728	0.5096799	1.79278326410529e-21
729	0.5151842	3.907471965469588e-20
730	0.5229229	2.5738095999466557e-18
731	0.5109892	3.7600043678319835e-21
732	0.5146255	2.8689411627827656e-20
733	0.515949	5.955881350955403e-20
734	0.5149857	3.501619453487074e-20
735	0.5223877	1.9374037247035244e-18
736	0.5141518	2.2062869069137765e-20
737	0.5139855	2.0116604501794684e-20
738	0.5127863	1.0312026377831465e-20
739	0.5176723	1.530267869488262e-19
740	0.5115195	5.068576355501184e-21
741	0.5226728	2.254120553715596e-18
742	0.5171505	1.1509712242441272e-19
743	0.5161172	6.532919640147006e-20
744	0.5115268	5.089428653549881e-21
745	0.5205398	7.219601580455372e-19
746	0.5167956	9.478419281717406e-20
747	0.5189989	3.1458741743134844e-19
748	0.5198678	5.029717016933279e-19
749	0.5322601	3.1850296876671947e-16
750	0.5171192	1.1314450484309394e-19
751	0.51981	4.875462335654114e-19
752	0.5139761	2.001182207595652e-20
753	0.5114281	4.814553036583711e-21
754	0.5205716	7.34390737677663e-19
755	0.5132076	1.3046642761728607e-20
756	0.5090626	1.2623091043957914e-21
757	0.5156628	5.087798075550306e-20
758	0.5180262	1.855556998136353e-19
759	0.5254671	9.816874632980745e-18
760	0.5135569	1.5850110073586427e-20
761	0.5133612	1.4213121776747342e-20
762	0.5156788	5.132835248857299e-20
763	0.5193598	3.8238942514349804e-19
764	0.5155204	4.703830355386686e-20
765	0.5270365	2.220512657363615e-17
766	0.5174512	1.3564147949238502e-19
767	0.5156309	4.9991703349400755e-20
768	0.517209	1.1883649282300908e-19
769	0.52071	7.910053206722055e-19
770	0.5202576	6.203894824944069e-19
771	0.5206891	7.8218682054773685e-19
772	0.5176542	1.515242510513229e-19
773	0.5170362	1.0812407202235384e-19
774	0.5172298	1.2019483973566643e-19
775	0.5160886	6.43103571372173e-20
776	0.5140218	2.0526371347266186e-20
777	0.5148026	3.164421146758491e-20
778	0.5139779	2.0031844842361996e-20
779	0.5111228	4.054107040206709e-21
780	0.5197384	4.690859693381917e-19
781	0.5134414	1.4862665212042994e-20
782	0.5118134	5.978895595418874e-21
783	0.5204724	6.96298019642085e-19
784	0.507063	4.0228390665297607e-22
785	0.5217684	1.3932396962634113e-18
786	0.5139552	1.9780782491489943e-20
787	0.51321	1.306411803230516e-20
788	0.5144849	2.653969240451672e-20
789	0.5168028	9.515864951145259e-20
790	0.5157191	5.2480303983871535e-20
791	0.5198407	4.956800952894823e-19
792	0.5166646	8.822047931038594e-20
793	0.523671	3.822887969216683e-18
794	0.5096611	1.7737575211386607e-21
795	0.5168129	9.568639969498351e-20
796	0.5196097	4.376272702448593e-19
797	0.509762	1.8782683071592815e-21
798	0.5198855	5.077913432447435e-19
799	0.5162348	6.968930105267233e-20
800	0.5248173	6.98669329632071e-18
801	0.5186153	2.5554474476746074e-19
802	0.5192197	3.5450302394907926e-19
803	0.522516	2.0740762820154827e-18
804	0.5139182	1.9378228501219902e-20
805	0.5093978	1.5274110661031344e-21
806	0.5205305	7.183643263897255e-19
807	0.5174677	1.3686839925269054e-19
808	0.5167424	9.206224037255372e-20
809	0.5167672	9.33213487383331e-20
810	0.5130927	1.2236569728138699e-20
811	0.5154032	4.409460641988163e-20
812	0.5158747	5.717343394271612e-20
813	0.5183399	2.2006078159735463e-19
814	0.5196194	4.399236721194105e-19
815	0.5154959	4.640726413245723e-20
816	0.515307	4.18153399021329e-20
817	0.5128012	1.0398257234570568e-20
818	0.5160619	6.337341641202361e-20
819	0.5142142	2.284034112917879e-20
820	0.5231446	2.8944657551576266e-18
821	0.5166395	8.7015255192446e-20
822	0.5152018	3.945630244240294e-20
823	0.5163898	7.587913130553907e-20
824	0.5219754	1.5557593315222201e-18
825	0.5136237	1.6450593786893942e-20
826	0.5236126	3.7068467683335235e-18
827	0.5099225	2.0572281580549577e-21
828	0.5178229	1.6611444609245166e-19
829	0.5246239	6.31257192485702e-18
830	0.5150573	3.6429548521374936e-20
831	0.5243392	5.435647511388356e-18
832	0.5228271	2.446372623031226e-18
833	0.5116822	5.5540598970852e-21
834	0.5106552	3.114065506315087e-21
835	0.5041881	7.62621967341623e-23
836	0.5230377	2.7351979006801704e-18
837	0.5164638	7.902336827521227e-20
838	0.5173998	1.3188883352720223e-19
839	0.5191668	3.4450556914787424e-19
840	0.521793	1.411637269586757e-18
841	0.5219183	1.509142573093752e-18
842	0.5180134	1.8426780693099924e-19
843	0.5165873	8.456075706042523e-20
844	0.5149451	3.42390481476563e-20
845	0.5094796	1.600071097685643e-21
846	0.5171058	1.123186237042333e-19
847	0.5186415	2.5920212830426885e-19
848	0.515472	4.5799762057665624e-20
849	0.5211466	9.9945860784107e-19
850	0.519294	3.6903161721032533e-19
851	0.526003	1.2983006192323347e-17
852	0.5140963	2.1393436312636596e-20
853	0.5143045	2.4013732515872695e-20
854	0.5136412	1.6611597960803973e-20
